#,Company,Symbol,Portfolio%,Sector
396,Verisign Inc,VRSN,0.04%,Technology
397,Packaging Corp of America,PKG,0.04%,Consumer Cyclical
398,Celanese Corporation,CE,0.04%,Basic Materials
399,Akamai Technologies Inc,AKAM,0.04%,Technology
400,"Cf Industries Holding, Inc.",CF,0.04%,Basic Materials
401,"Enphase Energy, Inc.",ENPH,0.04%,Technology
402,Zebra Technologies Corporation,ZBRA,0.04%,Technology
403,Kellanova,K,0.04%,Consumer Defensive
404,Carnival Corporation,CCL,0.04%,Consumer Cyclical
405,Jabil Inc.,JBL,0.04%,Technology
406,"Mid-America Apartment Communities, Inc.",MAA,0.03%,Real Estate
407,Trimble Inc.,TRMB,0.03%,Technology
408,Quest Diagnostics Inc.,DGX,0.03%,Healthcare
409,Bunge Global Sa,BG,0.03%,Consumer Defensive
410,"Conagra Brands, Inc.",CAG,0.03%,Consumer Defensive
411,"Best Buy Company, Inc.",BBY,0.03%,Consumer Cyclical
412,Pool Corporation,POOL,0.03%,Industrials
413,Snap-on Incorporated,SNA,0.03%,Industrials
414,Nordson Corp,NDSN,0.03%,Industrials
415,Viatris Inc.,VTRS,0.03%,Healthcare
416,Loews Corporation,L,0.03%,Financial Services
417,"Stanley Black & Decker, Inc.",SWK,0.03%,Industrials
418,Keycorp,KEY,0.03%,Financial Services
419,Albemarle Corporation,ALB,0.03%,Basic Materials
420,"Epam Systems, Inc.",EPAM,0.03%,Technology
421,"Host Hotels & Resorts, Inc.",HST,0.03%,Real Estate
422,"Healthpeak Properties, Inc.",DOC,0.03%,Real Estate
423,Jb Hunt Transport Services Inc,JBHT,0.03%,Industrials
424,Pentair Plc,PNR,0.03%,Industrials
425,Amcor Plcs,AMCR,0.03%,Consumer Cyclical
426,Live Nation Entertainment Inc.,LYV,0.03%,Communication Services
427,"Walgreens Boots Alliance, Inc",WBA,0.03%,Healthcare
428,"Rollins, Inc.",ROL,0.03%,Consumer Cyclical
429,"Revvity, Inc.",RVTY,0.03%,Healthcare
430,Alliant Energy Corporation,LNT,0.03%,Utilities
431,Kimco Realty Corp.,KIM,0.03%,Real Estate
432,"The Interpublic Group of Companies, Inc.",IPG,0.03%,Communication Services
433,"Lamb Weston Holdings, Inc.",LW,0.03%,Consumer Defensive
434,Henry (Jack) & Associates,JKHY,0.03%,Technology
435,Westrock Company,WRK,0.03%,Consumer Cyclical
436,"Evergy, Inc.",EVRG,0.03%,Utilities
437,International Paper Co.,IP,0.03%,Consumer Cyclical
438,Lkq Corporation,LKQ,0.03%,Consumer Cyclical
439,"Charles River Laboratories International, Inc.",CRL,0.03%,Healthcare
440,The J.M. Smucker Company,SJM,0.03%,Consumer Defensive
441,Gen Digital Inc.,GEN,0.03%,Technology
442,Molson Coors Beverage Company Class B,TAP,0.03%,Consumer Defensive
443,Insulet Corporation,PODD,0.03%,Healthcare
444,Aes Corporation,AES,0.03%,Utilities
445,"Udr, Inc.",UDR,0.03%,Real Estate
446,"Qorvo, Inc.",QRVO,0.03%,Technology
447,Eastman Chemical Company,EMN,0.03%,Basic Materials
448,Mgm Resorts International,MGM,0.03%,Consumer Cyclical
449,Nisource Inc.,NI,0.03%,Utilities
450,Juniper Networks Inc,JNPR,0.03%,Technology
451,Carmax Inc.,KMX,0.03%,Consumer Cyclical
452,"Huntington Ingalls Industries, Inc.",HII,0.03%,Industrials
453,Allegion Public Limited Company,ALLE,0.03%,Industrials
454,"F5, Inc.",FFIV,0.03%,Technology
455,Camden Property Trust,CPT,0.02%,Real Estate
456,"Bath & Body Works, Inc.",BBWI,0.02%,Consumer Cyclical
457,Hormel Foods Corporation,HRL,0.02%,Consumer Defensive
458,A.O. Smith Corporation,AOS,0.02%,Industrials
459,"Universal Health Services, Inc. Class B",UHS,0.02%,Healthcare
460,Bio-Techne Corp.,TECH,0.02%,Healthcare
461,"Catalent, Inc.",CTLT,0.02%,Healthcare
462,Apa Corporation,APA,0.02%,Energy
463,The Mosaic Company,MOS,0.02%,Basic Materials
464,Teleflex Incorporated,TFX,0.02%,Healthcare
465,Incyte Genomics Inc,INCY,0.02%,Healthcare
466,Regency Centers Corporation,REG,0.02%,Real Estate
467,Henry Schein Inc,HSIC,0.02%,Healthcare
468,"Dayforce, Inc.",DAY,0.02%,Technology
469,News Corporation Class A,NWSA,0.02%,Communication Services
470,"Paycom Software, Inc.",PAYC,0.02%,Technology
471,Wynn Resorts Ltd,WYNN,0.02%,Consumer Cyclical
472,"Tapestry, Inc.",TPR,0.02%,Consumer Cyclical
473,"Assurant, Inc.",AIZ,0.02%,Financial Services
474,American Airlines Group Inc.,AAL,0.02%,Industrials
475,Solventum Corporation,SOLV,0.02%,Healthcare
476,Campbell Soup Company,CPB,0.02%,Consumer Defensive
477,Brown-Forman Corporation Class B,BF.B,0.02%,N/A
478,"Match Group, Inc",MTCH,0.02%,Communication Services
479,"Boston Properties, Inc.",BXP,0.02%,Real Estate
480,Generac Holdings Inc,GNRC,0.02%,Industrials
