Time Published,Ticker,Overall Sentiment Score,Ticker Sentiment Score
20240116T080000,EXR,0.358377,0.0
20240117T094500,HSY,0.408825,0.195012
20240119T154000,FICO,0.264624,0.117237
20240121T150801,EFX,0.211028,0.130734
20240121T120000,EBAY,0.236909,0.188793
20240116T152000,AVB,0.280802,0.067356
20240105T151528,EIX,0.237023,0.244394
20240113T062244,MTD,0.206412,0.021901
20240115T105000,WST,0.296058,0.165296
20240116T140000,CBRE,0.182917,0.231181
20240111T124528,WTW,0.087338,0.068919
20240116T100900,WEC,-0.200187,0.052378
20240119T220100,CAH,-0.042033,0.031816
20240119T154200,DLTR,0.391587,0.198233
20240122T033500,DOV,0.230284,0.129849
20240119T164200,FITB,0.153421,0.086683
20240119T154500,ZBH,0.378706,0.296668
20240119T164300,PHM,0.289216,0.198138
20240119T164300,NVR,0.289216,0.198138
20231114T112005,MTB,0.141192,0.060993
20240120T010000,HPQ,0.346732,0.148295
20240122T063000,GLW,0.267446,0.044456
20240120T151348,RJF,0.050355,0.0
20240120T151348,WDC,0.050355,0.0
20240118T163045,TTWO,-0.137067,0.034977
20240118T150041,WY,0.122144,-0.039843
20240121T061443,STT,0.184494,0.019989
20240111T133400,IRM,0.413564,0.064849
20240116T140000,DTE,0.409768,0.0
20240119T134400,ETR,0.339053,0.146194
20240118T152301,GPC,0.296545,0.357361
20240117T130100,ALGN,0.294974,-0.07915
20240119T163000,GRMN,0.356236,0.123138
20240106T030000,BALL,0.223557,0.0
20240119T104500,HUBB,0.319861,0.0
20240118T230020,AXON,0.21814,0.381331
20240118T164500,IFF,0.313517,0.0
20240119T151500,PTC,0.327892,0.0
20240121T103200,DECK,0.397679,0.627936
20240119T231518,CTRA,0.204055,0.261704
20240105T151243,SBAC,0.228646,0.077006
20240118T171303,NTAP,0.303158,0.162136
20240112T131600,ES,0.240822,0.182532
20240120T151348,STLD,0.050355,0.0
20240122T070000,BAX,0.374337,0.207185
20240118T160000,STE,0.141021,0.14477
20240118T134400,MOH,0.031514,-0.238965
20231211T121600,PPL,0.298865,0.157044
20240118T230000,FE,-0.09975,0.013792
20240119T220100,ILMN,-0.042033,0.031816
20240118T080000,TYL,0.242884,0.0
20240120T151348,BRO,0.050355,0.0
20240115T183000,AEE,0.183768,0.09483
20240118T175400,OMC,0.46039,0.109574
20240119T181600,DRI,0.487064,0.188233
20240119T080000,WAT,0.373722,0.0
20240113T005500,J,-0.238529,0.0
20240119T201519,RF,0.216867,0.094414
20240117T220000,CNP,0.131152,0.24944
20240119T152800,CLX,0.24631,0.105243
20240120T144200,ARE,-0.012361,-0.053083
20240119T220100,HOLX,-0.042033,0.031816
